lane,event,start_us,end_us,detail
"tile 0,3 core",ACTIVE,6234.153724,6234.203731,cycles 131163969..131164018 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6234.202730,6234.203731,cycles 131164018..131164018 (1 cyc)
"tile 0,3 core",ACTIVE,6234.202730,6234.213732,cycles 131164018..131164028 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6234.212732,6234.213732,cycles 131164028..131164028 (1 cyc)
"tile 0,3 core",ACTIVE,6234.212732,6234.263739,cycles 131164028..131164078 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6234.262738,6236.120986,cycles 131164078..131165935 (1858 cyc)
"tile 0,3 core",ACTIVE,6236.119986,6236.130987,cycles 131165935..131165945 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6236.129987,6236.130987,cycles 131165945..131165945 (1 cyc)
"tile 0,3 core",ACTIVE,6236.129987,6236.179994,cycles 131165945..131165994 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6236.178993,6236.179994,cycles 131165994..131165994 (1 cyc)
"tile 0,3 core",ACTIVE,6236.178993,6236.189995,cycles 131165994..131166004 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6236.188995,6236.189995,cycles 131166004..131166004 (1 cyc)
"tile 0,3 core",ACTIVE,6236.188995,6236.240002,cycles 131166004..131166054 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6236.239001,6237.218132,cycles 131166054..131167032 (979 cyc)
"tile 0,3 core",ACTIVE,6237.217132,6237.228133,cycles 131167032..131167042 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6237.227133,6237.228133,cycles 131167042..131167042 (1 cyc)
"tile 0,3 core",ACTIVE,6237.227133,6237.277140,cycles 131167042..131167091 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6237.276139,6237.277140,cycles 131167091..131167091 (1 cyc)
"tile 0,3 core",ACTIVE,6237.276139,6237.287141,cycles 131167091..131167101 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6237.286141,6237.287141,cycles 131167101..131167101 (1 cyc)
"tile 0,3 core",ACTIVE,6237.286141,6237.337148,cycles 131167101..131167151 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6237.336147,6238.102249,cycles 131167151..131167916 (766 cyc)
"tile 0,3 core",ACTIVE,6238.101249,6238.112251,cycles 131167916..131167926 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.111251,6238.112251,cycles 131167926..131167926 (1 cyc)
"tile 0,3 core",ACTIVE,6238.111251,6238.161257,cycles 131167926..131167975 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.160257,6238.161257,cycles 131167975..131167975 (1 cyc)
"tile 0,3 core",ACTIVE,6238.160257,6238.171259,cycles 131167975..131167985 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.170258,6238.171259,cycles 131167985..131167985 (1 cyc)
"tile 0,3 core",ACTIVE,6238.170258,6238.182260,cycles 131167985..131167996 (12 cyc)
"tile 0,3 core",ACTIVE,6238.181260,6238.185260,cycles 131167996..131167999 (4 cyc)
"tile 0,3 core",ACTIVE,6238.184260,6238.220265,cycles 131167999..131168034 (36 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.219265,6238.220265,cycles 131168034..131168034 (1 cyc)
"tile 0,3 core",ACTIVE,6238.219265,6238.230266,cycles 131168034..131168044 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.229266,6238.230266,cycles 131168044..131168044 (1 cyc)
"tile 0,3 core",ACTIVE,6238.229266,6238.280273,cycles 131168044..131168094 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.279273,6238.311277,cycles 131168094..131168125 (32 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.310277,6238.311277,cycles 131168125..131168125 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.310277,6238.312277,cycles 131168125..131168126 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.311277,6238.313277,cycles 131168126..131168127 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.312277,6238.315278,cycles 131168127..131168129 (3 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.314278,6238.316278,cycles 131168129..131168130 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.315278,6238.317278,cycles 131168130..131168131 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.316278,6238.318278,cycles 131168131..131168132 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.317278,6238.319278,cycles 131168132..131168133 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.318278,6238.320278,cycles 131168133..131168134 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.319278,6238.321279,cycles 131168134..131168135 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.320278,6238.323279,cycles 131168135..131168137 (3 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.322279,6238.327279,cycles 131168137..131168141 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.326279,6238.330280,cycles 131168141..131168144 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.329280,6238.330280,cycles 131168144..131168144 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.329280,6238.331280,cycles 131168144..131168145 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.330280,6238.332280,cycles 131168145..131168146 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.331280,6238.333280,cycles 131168146..131168147 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.332280,6238.334280,cycles 131168147..131168148 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.333280,6238.335280,cycles 131168148..131168149 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.334280,6238.336281,cycles 131168149..131168150 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.335280,6238.337281,cycles 131168150..131168151 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.336281,6238.338281,cycles 131168151..131168152 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.337281,6238.339281,cycles 131168152..131168153 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.338281,6238.341281,cycles 131168153..131168155 (3 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.340281,6238.342281,cycles 131168155..131168156 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.341281,6238.343281,cycles 131168156..131168157 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.342281,6238.343281,cycles 131168157..131168157 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.342281,6238.774339,cycles 131168157..131168588 (432 cyc)
"tile 0,3 core",ACTIVE,6238.773339,6238.784340,cycles 131168588..131168598 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.783340,6238.784340,cycles 131168598..131168598 (1 cyc)
"tile 0,3 core",ACTIVE,6238.783340,6238.833347,cycles 131168598..131168647 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.832347,6238.833347,cycles 131168647..131168647 (1 cyc)
"tile 0,3 core",ACTIVE,6238.832347,6238.843348,cycles 131168647..131168657 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.842348,6238.843348,cycles 131168657..131168657 (1 cyc)
"tile 0,3 core",ACTIVE,6238.842348,6238.893355,cycles 131168657..131168707 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.892355,6238.896355,cycles 131168707..131168710 (4 cyc)
"tile 0,3 core",ACTIVE,6238.895355,6238.906356,cycles 131168710..131168720 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.905356,6238.906356,cycles 131168720..131168720 (1 cyc)
"tile 0,3 core",ACTIVE,6238.905356,6238.955363,cycles 131168720..131168769 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.954363,6238.955363,cycles 131168769..131168769 (1 cyc)
"tile 0,3 core",ACTIVE,6238.954363,6238.965364,cycles 131168769..131168779 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6238.964364,6238.965364,cycles 131168779..131168779 (1 cyc)
"tile 0,3 core",ACTIVE,6238.964364,6239.015371,cycles 131168779..131168829 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6239.014371,6239.747468,cycles 131168829..131169561 (733 cyc)
"tile 0,3 core",ACTIVE,6239.746468,6239.757470,cycles 131169561..131169571 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6239.756470,6239.757470,cycles 131169571..131169571 (1 cyc)
"tile 0,3 core",ACTIVE,6239.756470,6239.806476,cycles 131169571..131169620 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6239.805476,6239.806476,cycles 131169620..131169620 (1 cyc)
"tile 0,3 core",ACTIVE,6239.805476,6239.816478,cycles 131169620..131169630 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6239.815477,6239.816478,cycles 131169630..131169630 (1 cyc)
"tile 0,3 core",ACTIVE,6239.815477,6239.866484,cycles 131169630..131169680 (51 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6239.865484,6240.061510,cycles 131169680..131169875 (196 cyc)
"tile 0,3 core",ACTIVE,6240.060510,6240.071512,cycles 131169875..131169885 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.070511,6240.071512,cycles 131169885..131169885 (1 cyc)
"tile 0,3 core",ACTIVE,6240.070511,6240.120518,cycles 131169885..131169934 (50 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.119518,6240.120518,cycles 131169934..131169934 (1 cyc)
"tile 0,3 core",ACTIVE,6240.119518,6240.130519,cycles 131169934..131169944 (11 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.129519,6240.130519,cycles 131169944..131169944 (1 cyc)
"tile 0,3 core",ACTIVE,6240.129519,6240.141521,cycles 131169944..131169955 (12 cyc)
"tile 0,3 core",ACTIVE,6240.140521,6240.144521,cycles 131169955..131169958 (4 cyc)
"tile 0,3 core",ACTIVE,6240.143521,6240.179526,cycles 131169958..131169993 (36 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.178526,6240.274539,cycles 131169993..131170088 (96 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.273538,6240.274539,cycles 131170088..131170088 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.273538,6240.275539,cycles 131170088..131170089 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.274539,6240.276539,cycles 131170089..131170090 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.275539,6240.277539,cycles 131170090..131170091 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.276539,6240.278539,cycles 131170091..131170092 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.277539,6240.279539,cycles 131170092..131170093 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.278539,6240.280539,cycles 131170093..131170094 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.279539,6240.281539,cycles 131170094..131170095 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.280539,6240.282540,cycles 131170095..131170096 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.281539,6240.284540,cycles 131170096..131170098 (3 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.283540,6240.286540,cycles 131170098..131170100 (3 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.285540,6240.290541,cycles 131170100..131170104 (5 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.289541,6240.293541,cycles 131170104..131170107 (4 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.292541,6240.293541,cycles 131170107..131170107 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.292541,6240.294541,cycles 131170107..131170108 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.293541,6240.294541,cycles 131170108..131170108 (1 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.293541,6240.295541,cycles 131170108..131170109 (2 cyc)
"tile 0,3 core",ACTIVE|LOCK_STALL,6240.294541,6240.296541,cycles 131170109..131170110 (2 cyc)
